n,run,in_domain_accuracy,out_of_domain_accuracy,execution_time
2,0,0.48736462093862815,0.5,420.8421907424927
2,1,0.4404332129963899,0.5,424.08685326576233
2,2,0.4404332129963899,0.5,426.28204250335693
2,3,0.4404332129963899,0.5,424.3933117389679
2,4,0.4404332129963899,0.5,425.75670313835144
2,5,0.4404332129963899,0.5,423.59433937072754
2,6,0.4404332129963899,0.5,427.92542839050293
2,7,0.4404332129963899,0.5,423.75871300697327
2,8,0.4404332129963899,0.5,424.6813962459564
2,9,0.4404332129963899,0.5,424.8193576335907
32,0,0.5270758122743683,0.5,485.4944944381714
32,1,0.5090252707581228,0.5088,485.2950692176819
32,2,0.5090252707581228,0.5088,491.09106850624084
32,3,0.5090252707581228,0.5088,485.8351767063141
32,4,0.5090252707581228,0.5088,486.8702299594879
32,5,0.5090252707581228,0.5088,485.55319476127625
32,6,0.5090252707581228,0.5088,486.10406732559204
32,7,0.5090252707581228,0.5088,490.48889112472534
32,8,0.5090252707581228,0.5088,487.5223250389099
32,9,0.5090252707581228,0.5088,488.85565161705017
128,0,0.5740072202166066,0.5106,713.3565282821655
128,1,0.5415162454873647,0.5,694.2780272960663
128,2,0.5415162454873647,0.5,693.0767288208008
128,3,0.5415162454873647,0.5,691.9480102062225
128,4,0.5415162454873647,0.5,694.6593358516693
128,5,0.5415162454873647,0.5,692.4335463047028
128,6,0.5415162454873647,0.5,696.7101426124573
128,7,0.5415162454873647,0.5,694.5442950725555
128,8,0.5415162454873647,0.5,693.3002679347992
128,9,0.5415162454873647,0.5,695.4863030910492
